No.,Call Type,Contacts Alias,City,Province,Country,Call ID
1,Group Call,Local 9,,,,9
2,Group Call,Tarrant Cty Metr,,Texas,USA,10
3,Group Call,TX 3148,,Texas,USA,3148
4,Group Call,Metro,,Texas,USA,2
5,Group Call,XRF088 B,,,,88
6,Group Call,BMTG 3148 Link,,,,9000
7,Group Call,Southern Plains,,,,3175
8,Group Call,Europe,,,,92
9,Group Call,Cactus,,,,3185
10,Group Call,WW 1,,,,1
11,Group Call,NA 3,,,USA,3
12,Group Call,WW English,,,,13
13,Group Call,Nederland,,,,204
14,Group Call,TAC310,,,,310
15,Group Call,Belgium,,,,206
16,Group Call,DCI Bridge,,,USA,3100
17,Group Call,France 0,,,,208
18,Group Call,Southeast Region,,,,3174
19,Group Call,Spain,,,,214
20,Private Call,Jory McIntosh,,Texas,USA,3148288
21,Group Call,Hungary,,,,216
22,Group Call,Chicago 2,Chicago,Illinois,USA,3166
23,Group Call,Italia,,,,222
24,Group Call,Chicago 1,Chicago,Illinois,USA,3181
25,Group Call,Romania,,,,226
26,Group Call,TRB06 Comm1,,,,3777215
27,Group Call,UA English,,,United Emirates,113
28,Group Call,Switzerland,,,,228
29,Group Call,Czech Republic,,,,230
30,Group Call,CA 3106,,California,USA,3106
31,Group Call,Slovak,,,,231
32,Group Call,IL 3117,,Illinois,USA,3117
33,Group Call,Austria,,,,232
34,Group Call,MA 3125,,Massachusetts,USA,3125
35,Group Call,United Kingdom,,,,235
36,Group Call,MI 3126,,Michigan,USA,3126
37,Group Call,Denmark,,,,238
38,Group Call,MN 3127,,Minnesota,USA,3127
39,Group Call,Sweden,,,,240
40,Group Call,OH 3139,,Ohio,USA,3139
41,Group Call,Norway,,,,242
42,Group Call,TN 3147,,Tennessee,USA,3147
43,Group Call,Finland,,,,244
44,Group Call,Texas Nexus,,Texas,USA,31488
45,Group Call,Ukraine,,,,255
46,Group Call,WA 3153,,Washington,USA,3153
47,Group Call,Poland,,,,260
48,Group Call,WI 3155,,Wisconsin,USA,3155
49,Group Call,Deutschland,,,,262
50,Group Call,Allstar Link,,,,3167
51,Group Call,Portugal,,,,268
52,Group Call,Midwest Regional,,,,3169
53,Group Call,Canada,,,,302
54,Group Call,TRB06 Comm2,,,,3777216
55,Group Call,UA English 2,,,United Emirates,123
56,Group Call,USA,,,USA,1776
57,Group Call,TAC311,,,,311
58,Group Call,XE,,,,334
59,Group Call,TAC1,,,,8951
60,Group Call,Israel,,,,425
